,Words
0,"['uses risk', 'accident risk', 'operation risk']"
1,"['safety risk', 'interrelationships']"
2,"['early risk', 'aggregate risk']"
3,"['different risk', 'save', 'theoretically']"
4,[]
5,"['construction project', 'struction project', 'political risk', 'confirmatory factor analysis', 'the confirmatory factor analysis']"
6,"['quantified risk', 'proposed risk', 'drought risk', 'annual risk', 'fed', 'fed', 'reliability analysis']"
7,['the built environment']
8,"['collapse risk', 'A risk', 'ie', 'reinforced concrete']"
9,"['mega project', 'better risk', 'site risk', 'construction risk', 'active risk']"
10,"['potential risk', 'water resources management']"
11,"['collapse risk', 'preliminary risk', 'rough set']"
12,"['construction project', 'struction project', 'modular project', 'developed risk', 'impact risk', 'classical risk', 'designers', 'onsite', 'assemblies']"
13,"['large project', 'safety risk', 'The risk']"
14,"['qualitative risk', 'implementing risk']"
15,"['intervene', 'management tool']"
16,"['Customs risk', 'customs risk', 'customs', 'customs']"
17,"['safety risk', 'seismic risk']"
18,"['construction project', 'struction project', 'safety risk', 'aggregate risk', 'based risk', 'reliable risk', 'installation risk', 'popular', 'images']"
19,[]
20,"['total risk', 'Total risk', 'crash risk', 'car']"
21,"['The risk', 'demonstration']"
22,"['energy risk', 'joint risk', 'water risk', 'northwest', 'm3']"
23,"['sustainable project', 'able project', 'common project', 'identify risk']"
24,"['high risk', 'acceptable risk', 'considerable risk', 'Defining risk', 'low risk']"
25,"['construction project', 'struction project', 'IBS project', 'prototype risk', 'critical risk', 'analytic network process', 'fuzzy analytic network process']"
26,['Natech risk']
27,"['proper risk', 'quality management']"
28,"['driving risk', 'consulted', 'human factors', 'truck']"
29,"['BOT project', 'T project', 'high risk', 'low risk', 'incorporates risk', 'consensus', 'cash flow']"
30,"['overall risk', 'collision risk', 'geographic information system', 'en', 'hot', 'airspace', 'geographic information']"
31,"['traditional risk', 'system risk', 'universal']"
32,['the analytical hierarchical process']
33,"['construction project', 'struction project', 'exchange', 'success criteria']"
34,"['infrastructure project', 'structure project', 'The project', 'BOT project', 'T project', 'project risk']"
35,['instability risk']
