p1,p2,probability,stk on start,stk on destination,prj on start,prj on destination,risk on start,risk on destination
Change risk,Climate,0.8758620689655172,0,1,0,0,1,0
Departments of Transportation,State,0.7756410256410257,1,1,0,0,0,0
Social Implications,PURPOSE,0.7423312883435583,1,1,0,0,0,0
NPV,NET,0.8170731707317073,1,1,0,0,0,0
QRA,Quantitative risk,0.8268156424581006,1,0,0,0,0,1
Environmental Protection Agency,United States,0.7407407407407407,1,1,0,0,0,0
CSR,Social Responsibility,0.8205128205128205,1,1,0,0,0,0
Social Responsibility,CSR,0.528052805280528,1,1,0,0,0,0
CSR,"Social Responsibility, ON",0.6820512820512821,1,2,0,0,0,0
"CSR, ON",Social Responsibility,0.8209876543209876,2,1,0,0,0,0
"Social Responsibility, ON",CSR,0.5341365461847389,2,1,0,0,0,0
IPCC,Climate,0.8465346534653465,1,1,0,0,0,0
IPCC,"Climate, ON",0.7623762376237624,1,2,0,0,0,0
"IPCC, ON",Climate,0.8603351955307262,2,1,0,0,0,0
Geographical Information System,GIS,0.6439024390243903,1,1,0,0,0,0
RF,Random Forest,0.6572769953051644,1,1,0,0,0,0
PRA,Probabilistic risk,0.7523364485981309,1,0,0,0,0,1
TOPSIS,IDEAL,0.5573770491803278,1,1,0,0,0,0
TOPSIS,Method,0.6311475409836066,1,1,0,0,0,0
Traffic Management,Safety,0.5095785440613027,1,1,0,0,0,0
"Traffic Management, ON",Safety,0.545045045045045,2,1,0,0,0,0
CCS,"Carbon, ON",0.6228373702422145,1,2,0,0,0,0
"CCS, ON",Carbon,0.8108108108108109,2,1,0,0,0,0
CCS,Carbon,0.7993079584775087,1,1,0,0,0,0
the World Health Organization,WHO,0.5172413793103449,1,1,0,0,0,0
"Learning, SVM",Machine,0.9612403100775194,2,1,0,0,0,0
"Machine, SVM",Learning,0.5040650406504065,2,1,0,0,0,0
SVM,"Machine, ON",0.6153846153846154,1,2,0,0,0,0
"SVM, ON",Machine,0.8177777777777778,2,1,0,0,0,0
SVM,Machine,0.822742474916388,1,1,0,0,0,0
FMEA,Method,0.5607476635514018,1,1,0,0,0,0
"FMEA, ON",Method,0.5646551724137931,2,1,0,0,0,0
Climate risk,"Climate, ON",0.7217125382262997,1,2,0,0,1,0
"Climate risk, ON",Climate,0.9182879377431906,2,1,0,0,1,0
Climate risk,Climate,0.926605504587156,1,1,0,0,1,0
"GHG, ON",Climate,0.5300751879699248,2,1,0,0,0,0
Autonomous Vehicles,Safety,0.5420289855072464,1,1,0,0,0,0
"Autonomous Vehicles, ON",Safety,0.5516014234875445,2,1,0,0,0,0
Effective risk,Management,0.5847457627118644,0,1,0,0,1,0
"Effective risk, ON",Management,0.604982206405694,1,1,0,0,1,0
g/m(3,"mu, ON",0.5342465753424658,1,2,0,0,0,0
"g/m(3, ON",mu,0.924170616113744,2,1,0,0,0,0
g/m(3,mu,0.926027397260274,1,1,0,0,0,0
"Carcinogenic risk, ON",Health risk,0.6044444444444445,1,0,0,0,1,1
Carcinogenic risk,Health risk,0.5918367346938775,0,0,0,0,1,1
