,prj_0.0001060305_0.1.csv,prj_0.0001060305_0.22.csv,prj_0.0001060305_0.26.csv,prj_0.0001325381_0.14.csv,prj_0.0001590457_0.18.csv,prj_0.0001855533_0.1.csv,prj_0.0001855533_0.18.csv,prj_0.000212061_0.14.csv,prj_0.0002385686_0.1.csv,prj_0.0002385686_0.18.csv,prj_0.0002385686_0.3.csv,prj_0.0002650762_0.18.csv,prj_0.0002650762_0.26.csv,prj_0.00026508_0.1.csv,prj_0.00026508_0.22.csv,risk_0.0001158039_0.22.csv,risk_0.0001158039_0.3.csv,risk_0.0001323473_0.1.csv,risk_0.0001323473_0.18.csv,risk_0.0001488908_0.26.csv,risk_0.0001654342_0.1.csv,risk_0.0001654342_0.22.csv,risk_0.0001654342_0.3.csv,risk_0.00016543_0.14.csv,risk_0.00016543_0.18.csv,risk_6.61737e-05_0.14.csv,risk_6.61737e-05_0.18.csv,risk_9.92605e-05_0.14.csv,risk_9.92605e-05_0.26.csv,stk_0.0001653234_0.3.csv,stk_0.0002066543_0.1.csv,stk_0.0002066543_0.18.csv,stk_0.0002066543_0.22.csv,stk_0.0002066543_0.26.csv,stk_0.0002066543_0.3.csv,stk_0.0002479851_0.1.csv,stk_0.0002479851_0.22.csv,stk_0.0002479851_0.3.csv,stk_0.000289316_0.14.csv,stk_0.000289316_0.26.csv,stk_0.0003306468_0.22.csv,stk_0.0003306468_0.26.csv,stk_0.0003306468_0.3.csv,stk_0.0003719777_0.14.csv,stk_0.0003719777_0.22.csv,stk_0.0004133085_0.14.csv
file size,40.0,27.0,25.0,35.0,21.0,17.0,10.0,8.0,6.0,4.0,4.0,4.0,4.0,6.0,4.0,186.0,139.0,296.0,203.0,99.0,172.0,100.0,78.0,178.0,145.0,468.0,371.0,333.0,181.0,150.0,111.0,94.0,84.0,79.0,72.0,111.0,84.0,72.0,50.0,39.0,41.0,39.0,35.0,33.0,26.0,33.0
validate rate,0.425,0.37037037037037035,0.36,0.42857142857142855,0.2857142857142857,0.35294117647058826,0.3,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.4838709677419355,0.460431654676259,0.4797297297297297,0.49261083743842365,0.40404040404040403,0.42441860465116277,0.4,0.3717948717948718,0.42696629213483145,0.43448275862068964,0.44871794871794873,0.4609164420485175,0.45345345345345345,0.4696132596685083,0.18666666666666668,0.1891891891891892,0.2127659574468085,0.23809523809523808,0.24050632911392406,0.25,0.1891891891891892,0.23809523809523808,0.25,0.18,0.23076923076923078,0.21951219512195122,0.23076923076923078,0.2571428571428571,0.15151515151515152,0.19230769230769232,0.15151515151515152
length larger 2,17.0,10.0,9.0,15.0,6.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,64.0,142.0,100.0,40.0,73.0,40.0,29.0,76.0,63.0,210.0,171.0,151.0,85.0,28.0,21.0,20.0,20.0,19.0,18.0,21.0,20.0,18.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0
length larger than 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr2s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2s,7.0,4.0,4.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,4.0,7.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
p2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2r,3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,22.0,68.0,41.0,22.0,42.0,24.0,16.0,42.0,34.0,91.0,71.0,70.0,34.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
r2s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,4.0,2.0,7.0,2.0,2.0,5.0,3.0,13.0,6.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
