beg;des;val
Electricity generation sector;project developers;1
project developers;Electricity generation sector;0.5
Host countries;Electricity generation sector;0.5
Electricity generation sector;Host countries;1
Host countries;Electricity generation sector;0.5
Electricity generation sector;Host countries;1
project developers;Host countries;0.5
Host countries;project developers;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Electricity generation sector;investors;1
investors;Electricity generation sector;0.142857143
Host countries;Electricity generation sector;0.5
Electricity generation sector;Host countries;1
investors;Host countries;0.142857143
Host countries;investors;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Electricity generation sector;investors;1
project developers;Electricity generation sector;0.5
investors;Electricity generation sector;0.142857143
Electricity generation sector;investors;1
Electricity generation sector;project developers;1
investors;Electricity generation sector;1
Host countries;investors;0.5
Electricity generation sector;investors;1
project developers;Host countries;0.5
investors;Host countries;0.142857143
Host countries;project developers;1
Host countries;Electricity generation sector;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Electricity generation sector;Host countries;1
investors;Host countries;1
Host countries;investors;1
Host countries;project developers;1
investors;Electricity generation sector;1
investors;Host countries;1
Electricity generation sector;Increased emissions through offsets;1
Increased emissions through offsets;Electricity generation sector;1
project developers;Increased emissions through offsets;0.5
Increased emissions through offsets;project developers;1
Electricity generation sector;project developers;1
project developers;Electricity generation sector;0.5
Increased emissions through offsets;Electricity generation sector;1
Electricity generation sector;Increased emissions through offsets;1
Electricity generation sector;project developers;1
project developers;Electricity generation sector;1
Host countries;Increased emissions through offsets;0.5
Increased emissions through offsets;Host countries;1
Host countries;project developers;0.5
project developers;Host countries;0.5
Increased emissions through offsets;Host countries;1
Host countries;Increased emissions through offsets;1
Host countries;project developers;1
project developers;Host countries;1
Host countries;Electricity generation sector;0.5
Electricity generation sector;Host countries;1
Increased emissions through offsets;Host countries;1
Host countries;Increased emissions through offsets;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Host countries;Electricity generation sector;0.5
Electricity generation sector;Host countries;1
project developers;Host countries;0.5
Increased emissions through offsets;Host countries;1
Host countries;project developers;1
Host countries;Electricity generation sector;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Electricity generation sector;Host countries;1
project developers;Host countries;1
Host countries;Increased emissions through offsets;1
Host countries;project developers;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
investors;Increased emissions through offsets;0.142857143
Increased emissions through offsets;investors;1
Host countries;investors;0.5
investors;Host countries;0.142857143
Increased emissions through offsets;Host countries;1
Host countries;Increased emissions through offsets;1
Host countries;investors;1
investors;Host countries;1
project developers;investors;0.5
investors;project developers;0.142857143
Increased emissions through offsets;investors;1
investors;Increased emissions through offsets;1
project developers;investors;1
investors;project developers;1
Host countries;investors;0.5
project developers;Host countries;0.5
investors;Host countries;0.142857143
Increased emissions through offsets;investors;1
Host countries;investors;1
Host countries;project developers;1
Host countries;project developers;1
investors;Host countries;1
project developers;Host countries;1
