Project;Risk;Stakeholder;idx
Electricity generation sector;Increased emissions through offsets;Host countries| project developers| investors;0
Energy infrastructure projects (EU support for 16 natural gas projects);Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors| implementers| and regulatory bodies involved in the energy sector;1
Construction project;Delayed project completion;Homeowners| builders| architects;2
Electricity sector;Emission reduction opportunities;Project developers| regulators| environment agencies;3
Road construction;Delay| cost overruns| instability in the industry;Construction companies| government agencies| affected communities;4
Overland natural gas pipeline connecting India and Iran via Pakistan.;Political tensions between India| Iran| and Pakistan.;India| Iran| Pakistan| and private companies involved in the project.;5
CDM projects distribution;Climate change impact;Developing countries;6
Construction industry;Motivating employees' innovative behaviors;Construction industry professionals in China;7
Afforestation projects;Environmental disasters| carbon sink depletion;Chinese government| carbon sequestration market (Finland);8
hydropower;development;public;9
Large dam project;Social impacts;Local population;10
Energy transition initiatives;Decentralization| citizen control;Community members;11
Road infrastructure project;Environmental impact;Policy- and decision-makers;12
Community woodfuel project;Reduced risk for local stakeholders;Local participants and developers;13
Solid waste management;None;Local communities;14
geothermal heating project;development;environmental agencies;15
Biogas Electricity Project;Uncertainty in market demand;Investors| Government Agencies;16
None;Financial and organizational sustainability;Local communities and NGOs;17
regeneration;development;practitioners;18
Cost-benefit study (4 words);Bias in analysis (4 words);Policy makers (4 words);19
Research and Technical Development (R&TD);Technical Difficulties (DEMO Installations);European Union (EU)| Bulgarian Government| Ukrainian Government;20
Yes;None;Local communities;21
International collaboration;Cultural differences;Organizations and individuals involved in international projects;22
challenges;difficulties;engineers;23
Nansen Programme;None;Developing nations;24
Soil and Water Conservation (SWC) project;Continuation of project benefits after funding stops;Farmers in southern Mali;25
Developing software.;Models might fail.;Users must collaborate.;26
Urban transformation projects;Loss of functionality and intensity of use (economic| physical| and social aspects);Users;27
Transmission grid planning;Safety and reliability;Provincial Power Grid Corp;28
Demonstration Project;None;EU| Organizations| River Managers;29
Developing sustainability competencies;None;Students| teachers| NGO;30
Biogas complex creation;External;Investors;31
Integration Project Delivery;None;General Contractors;32
International collaboration;Increased competition;Environmental organizations;33
Stream bank stabilization;Flooding;Landowners| conservation districts| NRCS| OKCC;34
Yes;None;Organizations;35
Construction partnering;Failure;Industry professionals;36
Oil industry projects;Development costs;Industry players;37
Waste treatment PPP in Greece;Financial sustainability;Private sector;38
Yes| Project Tiger Reserves.;Yes| potential default risk.;Yes| Project Tiger Reserves and pharmaceutical companies.;39
Small-scale hydropower projects;Economic loss due to reduced electricity production;Government administrators| project owners| public;40
Power infrastructure;None;Host countries;41
Energy efficiency projects;None;Society;42
Research projects;None;Scientific community;43
