antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction;zhangs_metric
study| engineers;researchers;0.000214605;0.021644491;0.000183948;0.857142857;39.60097127;0.000179302;6.848488565;0.974957325
researchers| study;analysis;0.000521185;0.010331719;0.000214605;0.411764706;39.85442486;0.000209221;1.682436078;0.975417056
analysis| policymakers;researchers;0.000306579;0.021644491;0.00015329;0.5;23.10056657;0.000146654;1.956711018;0.957004416
study| policymakers;analysis;0.000245263;0.010331719;0.00015329;0.625;60.49332344;0.000150756;2.639115417;0.983710518
analysis| policymakers;study;0.000306579;0.013274879;0.00015329;0.5;37.66512702;0.00014922;1.973450242;0.973748773
analysis| engineers;researchers;0.00015329;0.021644491;0.00015329;1;46.20113314;0.000149972;inf;0.978505504
study| management;analysis;0.000643816;0.010331719;0.000275921;0.428571429;41.48113607;0.00026927;1.731919492;0.976521357
research| analysis;study;0.001747501;0.013274879;0.001011711;0.578947368;43.61225234;0.000988513;2.343472163;0.978781085
study| analysis;research;0.002452634;0.007879085;0.001011711;0.4125;52.35379377;0.000992387;1.688716451;0.983310889
research| study| management;analysis;0.000245263;0.010331719;0.000122632;0.5;48.39465875;0.000120098;1.979336563;0.979576817
research| analysis| management;study;0.000275921;0.013274879;0.000122632;0.444444444;33.48011291;0.000118969;1.776105218;0.970399276
study| analysis| management;research;0.000275921;0.007879085;0.000122632;0.444444444;56.40812797;0.000120458;1.785817647;0.982543163
| research;analysis;0.000521185;0.010331719;0.000214605;0.411764706;39.85442486;0.000209221;1.682436078;0.975417056
research| government agencies;analysis;0.000183948;0.010331719;0.00015329;0.833333333;80.65776459;0.000151389;5.938009688;0.987783638
analysis| government agencies;research;0.000214605;0.007879085;0.00015329;0.714285714;90.65591996;0.000151599;3.472423202;0.989181565
researchers| research;study;0.000306579;0.013274879;0.000122632;0.4;30.13210162;0.000118562;1.644541868;0.967109298
researchers| research;analysis;0.000306579;0.010331719;0.000122632;0.4;38.715727;0.000119464;1.649447136;0.974469455
researchers| research;scientists;0.000306579;0.008492244;0.000122632;0.4;47.10180505;0.000120028;1.652512927;0.979069553
study| scientists;research;0.000214605;0.007879085;0.000122632;0.571428571;72.52473596;0.000120941;2.314948801;0.986423293
scientists| analysis;research;0.000306579;0.007879085;0.000122632;0.4;50.76731518;0.000120216;1.653534858;0.98060292
research| policymakers;analysis;0.000245263;0.010331719;0.000122632;0.5;48.39465875;0.000120098;1.979336563;0.979576817
analysis| policymakers;research;0.000306579;0.007879085;0.000122632;0.4;50.76731518;0.000120216;1.653534858;0.98060292
study| policymakers;research;0.000245263;0.007879085;0.000122632;0.5;63.45914397;0.000120699;1.98424183;0.984483287
research| policymakers;study;0.000245263;0.013274879;0.000122632;0.5;37.66512702;0.000119376;1.973450242;0.973689052
research| community;study;0.000214605;0.013274879;0.000122632;0.571428571;43.04585945;0.000119783;2.302358616;0.976978627
study| community;research;0.000306579;0.007879085;0.000122632;0.4;50.76731518;0.000120216;1.653534858;0.98060292
study| community;analysis;0.000306579;0.010331719;0.000122632;0.4;38.715727;0.000119464;1.649447136;0.974469455
community| analysis;study;0.000183948;0.013274879;0.000122632;0.666666667;50.22016936;0.00012019;2.960175363;0.980268
society| community;environment;0.000337237;0.004629346;0.00015329;0.454545455;98.18783865;0.000151728;1.824846199;0.990149354
community| environment;society;0.000337237;0.004200135;0.00015329;0.454545455;108.2216324;0.000151873;1.825633086;0.991093937
research| public;study;0.00015329;0.013274879;0.000122632;0.8;60.26420323;0.000120597;4.933625605;0.98355717
study| public;research;0.00015329;0.007879085;0.000122632;0.8;101.5346304;0.000121424;4.960604574;0.990302947
development| approach;management;0.000214605;0.009779876;0.000122632;0.571428571;58.42901926;0.000120533;2.310513622;0.983096195
design| methodology;approach;0.000275921;0.001778159;0.000214605;0.777777778;437.4061303;0.000214115;4.491998283;0.997989162
design| approach;methodology;0.000214605;0.001778159;0.000214605;1;562.3793103;0.000214224;inf;0.998436111
