risk,types,groups
Environmental risk,Lack of data,0
Operational risk,Complex environmental conditions over time,0
Data-related risk,Insufficient risk assessment,0
Time-related risk,Inadequate risk control measures,0
0,Neglecting maintenance work,1
0,Insufficient investment in maintenance,1
0,Growing backlog of maintenance work,1
0,Identification of maintenance significant units,1
0,Risk assessment of infrastructure systems,1
Operational risk,0,1
Financial risk,0,1
Reputation risk,0,1
Compliance risk,0,1
Droughts,Environmental risk (drought),2
Losses of income,Economic risk (losses of income),2
Inadequate crisis management,Social risk (inadequate crisis management),2
Insufficient risk management,Political risk (inadequate risk management),2
On-site construction risk,0,3
Financial cost risk,0,3
Penalty risk,0,3
 Escalation risk, Propagation of risks from one to another,4
 Collapse risk, Geological disaster,4
 Accuracy risk," Cost overruns, schedule delays, and quality issues",4
 Site-fit rework risk, Evaluation factors or methods restricted,4
Operational risk,Lack of data,5
Environmental risk,Complex environmental conditions over time,5
Data-related risk,Insufficient risk assessment,5
Time-related risk,Inadequate risk control measures,5
0,Neglecting maintenance work,6
0,Insufficient investment in maintenance,6
0,Growing backlog of maintenance work,6
0,Identification of maintenance significant units,6
0,Risk assessment of infrastructure systems,6
Operational risk,0,6
Financial risk,0,6
Reputation risk,0,6
Compliance risk,0,6
Droughts,Environmental risk (drought),7
Losses of income,Economic risk (losses of income),7
Inadequate crisis management,Social risk (inadequate crisis management),7
Insufficient risk management,Political risk (inadequate risk management),7
On-site construction risk,0,8
Financial cost risk,0,8
Penalty risk,0,8
 Escalation risk, Propagation of risks from one to another,9
 Collapse risk, Geological disaster,9
 Accuracy risk," Cost overruns, schedule delays, and quality issues",9
 Site-fit rework risk, Evaluation factors or methods restricted,9
Time deadline risk,0,10
Competition function risk,0,10
Safety performance risk,0,10
Contractors' unsafe operation risk,0,10
Lack of emergency response plan risk,0,10
Ignoring safety under schedule pressure risk,0,10
Operational risk,0,10
Compliance risk,0,10
Reputation risk,0,10
Financial risk,0,10
Strategic risk,0,10
"Unknown or unreliable sources of data (e.g., ""crowdsourcing is one of the ideal approaches..."")","Safety risk (e.g., ""elevator installation risk assessment..."")",11
0,"Limited resources for safety inspections (e.g., ""Well-trained inspectors could be a limited resource..."")",11
0,"Distorted results from non-professional players (e.g., ""inputs provided by nonprofessional players can distort the aggregated results."")",11
0,"xxx risk (mentioned in the sentence as ""there is no reason to consider the model invalid for driver behavior in basic segments of the freeways in Iran, under non-congested conditions."")",12
0,Uncertain position of vehicles (caused by their acceleration or deceleration),12
0,Safety risk (related to the potential for accidents or injuries in emergency situations),12
0,Environmental risk (related to the impact of environmental conditions on safety measures),12
0,Equipment risk (related to the potential malfunctioning of safety equipment),12
0,Emergency preparedness risk (related to the adequacy of emergency measures and training),12
0,Human interaction risk (related to the potential for conflicts or inadequate communication among personnel in emergency situations),12
Water scarcity,Environmental risks,13
Energy scarcity,Health and safety risks,13
Environmental degradation,Economic risks,13
Health and safety risks,Social risks,13
0,Cost overruns,13
0,Time delays,13
0,Quality issues,13
Earthquake-related risks,Natural hazard-related risks (Natech risks),14
Uncertainties in risk assessment,Technological disaster risks,14
Non-linear relationships between parameters,Emergency response planning risks,14
Financial consequences,Mitigation risks,14
Danger to industrial facilities and nearby residential areas,Prevention risks,14
Operational risk,Lack of data,15
Environmental risk,Complex environmental conditions over time,15
Data-related risk,Insufficient risk assessment,15
Time-related risk,Inadequate risk control measures,15
0,Neglecting maintenance work,16
0,Insufficient investment in maintenance,16
0,Growing backlog of maintenance work,16
0,Identification of maintenance significant units,16
0,Risk assessment of infrastructure systems,16
Operational risk,0,16
Financial risk,0,16
Reputation risk,0,16
Compliance risk,0,16
Droughts,Environmental risk (drought),17
Losses of income,Economic risk (losses of income),17
Inadequate crisis management,Social risk (inadequate crisis management),17
Insufficient risk management,Political risk (inadequate risk management),17
On-site construction risk,0,18
Financial cost risk,0,18
Penalty risk,0,18
 Escalation risk, Propagation of risks from one to another,19
 Collapse risk, Geological disaster,19
 Accuracy risk," Cost overruns, schedule delays, and quality issues",19
 Site-fit rework risk, Evaluation factors or methods restricted,19
Time deadline risk,0,20
Competition function risk,0,20
Safety performance risk,0,20
Contractors' unsafe operation risk,0,20
Lack of emergency response plan risk,0,20
Ignoring safety under schedule pressure risk,0,20
Operational risk,0,20
Compliance risk,0,20
Reputation risk,0,20
Financial risk,0,20
Strategic risk,0,20
"Unknown or unreliable sources of data (e.g., ""crowdsourcing is one of the ideal approaches..."")","Safety risk (e.g., ""elevator installation risk assessment..."")",21
0,"Limited resources for safety inspections (e.g., ""Well-trained inspectors could be a limited resource..."")",21
0,"Distorted results from non-professional players (e.g., ""inputs provided by nonprofessional players can distort the aggregated results."")",21
0,"xxx risk (mentioned in the sentence as ""there is no reason to consider the model invalid for driver behavior in basic segments of the freeways in Iran, under non-congested conditions."")",22
0,Uncertain position of vehicles (caused by their acceleration or deceleration),22
