risks description,risk_type,keywords,sentence tags
production of sleeve grouting in prefabricated construction| traffic accident risk (TAR)| traffic operation risk (TOA)| drought| political risks in international construction projects| on-site construction risk| water resources management risks| tunnel collapse risk.,"operational, traffic, drought, political, construction, water resources management, geological.","sleeve grouting, risk control, entropy weight, GHSLPE, risk interrelationships, maintenance significant units, stochastic transportation network, risk-taking behaviors, Damage-Probability Curve, principal-agent relationship, factorial analysis, fuzzy random value-at-risk, unascertained measure-set pair analysis.","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
excessive geometric variability risks| safety risks| crash risk| water-energy joint risk| risks associated with human responses in emergency scenarios| risks of international construction| key risks associated with evacuation activities.,"Tolerance-related risks, safety risks, crash risk, water-energy joint risk, risks associated with human responses in emergency scenarios, risks of international construction, key risks associated with evacuation activities.","Modular components, assemblies, geometric relationships, risk management, risk assessment, risk model, design structure matrix, analytical hierarchy process, safety risk factors, risk register, risk checklist, risk analysis, structural engineering, seismic risk management, outlier data mining, human-image interaction behavior, virtual environment, emergency situations, water-energy relationship, mathematical programming, fault tree techniques.","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
insufficient information| increase in short-term costs| reluctance to share information| natural hazard triggering technological disasters| bridge falsework systems| driving-risk situations| concession period| earthquake-triggered geohazards| external risks| horizontal pillar stability| defect risks,"financial, safety, structural, environmental","Building Information Modelling, Industrialised Building System, risk assessment tool, Fuzzy Delphi Method, DEMATEL, Parsimonious-fuzzy analytic network process, Natech, Bayesian belief network, Cuplok, traffic safety experts, analytical hierarchical process, trapezoidal fuzzy AHP, international joint ventures, build-operate-transfer, loss distribution approach","engineering civil, engineering industrial, management, engineering manufacturing, constructing building, constructing technology, transportation, finance, environment science, environment studies"
Dam safety incidents| hazardous materials (hazmat) incidents| public-private partnership (PPP) projects| mountainous rural highway road-side risk| dam engineering problems| Bradbury Dam| California| container shipping operational risks (CSORs)| underground comprehensive utility tunnel project| wind farm construction| climate change and sea level rise| Florida Everglades,"Safety, Catastrophic, Political and Legal, Incident, Uncertainty, Complexity, Earthquake, Liquefaction, Embankment Deformation, Reliability, Robustness, Sea Level Rise","Risk Analysis, Risk Management, Risk Assessment, Risk Identification, Risk Sharing, Risk Evaluation, Risk Reduction, Risk Preferences, Risk Averse, Risk Minimization, Risk Control","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance"
Payment delays| project delays| transmission risk of airborne diseases| drought-related risk estimation| head contractors' current risk management| seismic risk assessment| risk management of large-scale concrete structures| dam safety evaluation| portfolio seismic risk assessment| risk assessment of mitigation options| risk management of large urban areas| rail traffic signal system| underground gas storage| construction project risk.,"Payment delays, project delays, transmission risk, drought-related risk, seismic risk, risk management, dam safety, portfolio seismic risk, risk assessment, risk management, rail traffic signal system, underground gas storage, construction project risk.","Risk management, risk assessment, risk mitigation, risk analysis, risk evaluation, risk reduction.","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Risk analysis and management methodologies| fault tree techniques| relative judgements| risk analysis| risk management strategies| quantitative risk analysis procedure| fire safety design| smoke control system effectiveness| spalling effect and structural reliability of the liners| societal risk indicator| reliability based approach for structural design| flood risk management strategies| multi-criteria decision making| lack of understanding| long term contracts| property damage risk factors| pressurized vessels defects| risk factors in Irans gas refineries| Construction Safety Management Information System| risk factors and accident types| risk index system| principal agent theory| scenario analysis| route-guidance information| potential benefit| surface water sources of drinking water| health risks| risk related-factors| risk related-degree model| risk related-factors| risk assignment in construction contracts, risk management and decisions making,"Risk analysis, Risk management, Risk assessment, Risk allocation, Risk index, Risk factors, Risk related-factors, Risk related-degree model, Risk assignment","Risk analysis and management, fault tree techniques, relative judgements, risk management strategies, quantitative risk analysis, fire safety design, smoke control system, spalling effect, structural reliability, societal risk"
Flood risk management| financial risks| bridge fire risk| risk assessment| risk management| risk of investment projects,"Financial, Fire, Investment","Risk assessment, Risk management, Risk of investment projects","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance"
potentially harmful elements (PHEs) pollution| noncarcinogenic risk| carcinogenic risk| exposure risks to human health| vehicular emissions| domestic coal burning| transportation of coal| industrial activities| claims on a tunnel construction project| occupational accidents| microorganisms in drinking water| glass curtain wall| port security and risk| disaster hazards| immersive reality technology (ImT) implementation| blast incidents caused by dangerous goods on bridges.,"Pollution, Noncarcinogenic, Carcinogenic, Exposure, Claims, Occupational, Microorganisms, Glass Curtain Wall, Security, Disaster, Implementation, Blast.",Risk Assessment,"Environment Science, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance"
production system unreliability| engineering construction item period to grow| complicated degree| invest a great| risk factors| flood risks| geotechnical risk| oil transport activity| ship collision risk| regional multi-ship collision risk| dam safety| historical heritage disasters.,"System, Engineering, Flood, Geotechnical, Oil Transport, Ship Collision, Multi-Ship Collision, Dam Safety, Historical Heritage.","System Theory, Risk Concept, Reliability Structure, Risk Value Evaluation, Serial-Production Structures, Weight Coefficients, Production Line, Enterprise Manufacturing Systems, Urban Agglomerations, Flood Risk Management Strategies, Flood Risk Governance Arrangements, Risk Awareness, Structural Flood Protection, Risk Impacts, Geotechnical Projects, Risk Conception, Ship Crossing Angle, Navigational Environment, Regional Multi-Ship Collision Risk, Risk Reduction Indicators, Historical Heritage Vulnerabilities.","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Water inrush| pre-tender estimating inaccuracies| intensive storms| brownfield transactions| flooding and relative risk of loss of life and property from hurricanes| deep excavation| blockchain risks| total repurchase price| rockfall safety risk.,"Financial, environmental, safety.","Water inrush, pre-tender estimating inaccuracies, intensive storms, brownfield transactions, flooding, relative risk of loss of life and property from hurricanes, deep excavation, blockchain risks, total repurchase price, rockfall safety risk, evaluation indices, multi-index system, interval risk assessment, failure modes and effects analysis, potential failure modes analysis, quantitative risk analysis, risk-informed decision making, risk methodologies, risk elements, storm intensity, risk chart, public-private partnership, cooperative game theory, Shapley value, organizational criteria, trapezoidal fuzzy ordinal priority approach, multi-criteria decision-making, corporate social responsibility, cost efficiency, quality, customer experience, risk management.","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
